Consulta,factor 01,factor 03,factor 1,factor 3
1,0.037999999999999999,0.092999999999999999,0.14399999999999999,0.0070000000000000001
2,0.019,0.029999999999999999,0.29899999999999999,0.214
3,0.059999999999999998,0.048000000000000001,0.248,0.76200000000000001
4,0.037999999999999999,0.072999999999999995,0.254,0.214
5,0.0060000000000000001,0.036999999999999998,0.12,0.012999999999999999
6,0.021999999999999999,0.0040000000000000001,0.0089999999999999993,0.35599999999999998
7,0.063,0.14499999999999999,0.48899999999999999,0.44700000000000001
8,0.34999999999999998,0.045999999999999999,0.191,0.42499999999999999
9,0.021000000000000001,0.029999999999999999,0.30299999999999999,0.69799999999999995
10,0.27600000000000002,0.105,0.26200000000000001,0.224
11,0.025000000000000001,0.047,0.219,0.35899999999999999
12,0.027,0.050999999999999997,0.13600000000000001,0.38500000000000001
13,0.032000000000000001,0.053999999999999999,0.20100000000000001,0.55200000000000005
14,CORE DUMPED,CORE DUMPED,CORE DUMPED,CORE DUMPED
15,Memory limit,Memory limit,Memory limit,Memory limit
16,Memory limit,Memory limit,Memory limit,Memory limit
17,Memory limit,Memory limit,Memory limit,Memory limit
18,Memory limit,Memory limit,Memory limit,Memory limit
19,TIMEOUT,0.086999999999999994,0.434,1.2709999999999999
20,0.047,0.082000000000000003,0.33300000000000002,1.1919999999999999
21,TIMEOUT,0.082000000000000003,4.4429999999999996,26.794979999999999
22,TIMEOUT,0.84399999999999997,TIMEOUT,TIMEOUT
23,TIMEOUT,Memory limit,Memory limit,Memory limit
24,TIMEOUT,TIMEOUT,Memory limit,Memory limit
25,0.033000000000000002,0.0040000000000000001,0.0080000000000000002,0.012999999999999999
26,0.023,0.0030000000000000001,0.0040000000000000001,0.0060000000000000001
27,0.02,0.050999999999999997,0.23400000000000001,0.42399999999999999
28,0.02,0.0080000000000000002,0.129,0.374
29,0.025000000000000001,0.0040000000000000001,0.01,0.044999999999999998
30,0.023,0.0040000000000000001,0.0080000000000000002,0.34899999999999998
31,CORE DUMPED,CORE DUMPED,0.039,CORE DUMPED
32,0.0089999999999999993,Memory limit,CORE DUMPED,0.23999999999999999
33,Memory limit,0.014,Memory limit,Memory limit
34,CORE DUMPED,0.058000000000000003,0.37,0.71999999999999997
35,0.036999999999999998,CORE DUMPED,CORE DUMPED,CORE DUMPED
36,Memory limit,Memory limit,Memory limit,Memory limit
37,Memory limit,Memory limit,Memory limit,Memory limit
38,Memory limit,Memory limit,Memory limit,Memory limit
39,Memory limit,Memory limit,Memory limit,Memory limit
40,TIMEOUT,0.086999999999999994,0.48099999999999998,1.306
41,0.063,0.080000000000000002,0.371,1.196
42,TIMEOUT,0.076999999999999999,5.4779999999999998,1.1579999999999999
43,TIMEOUT,0.96099999999999997,TIMEOUT,27.559999999999999
44,TIMEOUT,TIMEOUT,Memory limit,TIMEOUT
45,TIMEOUT,TIMEOUT,Memory limit,Memory limit
46,CORE DUMPED,CORE DUMPED,0.050999999999999997,0.13100000000000001
47,0.012999999999999999,Memory limit,CORE DUMPED,CORE DUMPED
48,Memory limit,0.014,Memory limit,Memory limit
49,0.056000000000000001,0.075999999999999998,0.46600000000000003,1.274
50,0.045999999999999999,0.072999999999999995,0.376,1.0760000000000001
51,TIMEOUT,0.124,TIMEOUT,TIMEOUT
52,0.071999999999999995,TIMEOUT,0.65700000000000003,TIMEOUT
53,TIMEOUT,0.13,0.58999999999999997,2.9700000000000002
54,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
55,0.021000000000000001,0.012,0.033000000000000002,0.13
56,0.021999999999999999,0.091999999999999998,0.11600000000000001,0.33700000000000002
57,0.036999999999999998,0.084000000000000005,0.104,0.33000000000000002
58,0.032000000000000001,0.089999999999999997,0.107,0.93000000000000005
59,0.019,0.056000000000000001,0.13300000000000001,0.20000000000000001
60,0.0080000000000000002,0.012999999999999999,0.035999999999999997,0.13600000000000001
61,0.002,0.002,0.0030000000000000001,0.0030000000000000001
62,0.002,0.002,0.0030000000000000001,0.0030000000000000001
63,0.0030000000000000001,0.002,0.0030000000000000001,0.0030000000000000001
64,0.0030000000000000001,0.002,0.0030000000000000001,0.0050000000000000001
65,0.0040000000000000001,0.0040000000000000001,0.0070000000000000001,0.0060000000000000001
66,0.0040000000000000001,0.0040000000000000001,0.0040000000000000001,0.0050000000000000001
67,0.002,0.001,0.002,0.0030000000000000001
68,0.002,0.001,0.0030000000000000001,0.0030000000000000001
69,0.002,0.001,0.002,0.002
70,0.0030000000000000001,0.001,0.002,0.0030000000000000001
71,0.0040000000000000001,0.0030000000000000001,0.0030000000000000001,0.0050000000000000001
72,0.0030000000000000001,0.002,0.0050000000000000001,0.0050000000000000001
73,0.0030000000000000001,0.002,0.002,0.0030000000000000001
74,0.0040000000000000001,0.002,0.002,0.0030000000000000001
75,0.0030000000000000001,0.002,0.0030000000000000001,0.0040000000000000001
76,0.0040000000000000001,0.0030000000000000001,0.0030000000000000001,0.0040000000000000001
77,0.0040000000000000001,0.0030000000000000001,0.0040000000000000001,0.0060000000000000001
78,0.0040000000000000001,0.0040000000000000001,0.0040000000000000001,0.0050000000000000001
79,0.0060000000000000001,0.0089999999999999993,0.029000000000000001,0.108
80,0.0070000000000000001,0.0089999999999999993,0.025999999999999999,0.096000000000000002
81,0.0060000000000000001,CORE DUMPED,0.031,0.104
82,CORE DUMPED,CORE DUMPED,CORE DUMPED,CORE DUMPED
83,0.0060000000000000001,0.0089999999999999993,0.029000000000000001,0.10299999999999999
84,0.0080000000000000002,0.01,0.032000000000000001,0.10000000000000001
85,0.0030000000000000001,0.002,0.002,0.0030000000000000001
86,0.002,0.002,0.002,0.0030000000000000001
87,0.0030000000000000001,0.002,0.0030000000000000001,0.0030000000000000001
88,0.0030000000000000001,0.002,0.0030000000000000001,0.0030000000000000001
89,0.0040000000000000001,0.0040000000000000001,0.0040000000000000001,0.0050000000000000001
90,0.0050000000000000001,0.0040000000000000001,0.0040000000000000001,0.0050000000000000001
91,0.0080000000000000002,0.070000000000000007,0.042000000000000003,0.105
92,0.01,0.012999999999999999,0.036999999999999998,0.114
93,0.0080000000000000002,0.010999999999999999,0.031,0.13
94,0.0089999999999999993,0.012,0.031,0.11
95,3.9460000000000002,0.010999999999999999,Memory limit,Memory limit
96,Memory limit,0.012,Memory limit,Memory limit
97,0.012999999999999999,0.01,0.041000000000000002,0.223
98,0.012,0.014,0.035999999999999997,0.16900000000000001
99,0.014,0.0089999999999999993,0.044999999999999998,0.14999999999999999
100,0.01,0.01,0.034000000000000002,0.155
101,0.014999999999999999,0.01,0.042000000000000003,0.13900000000000001
102,0.012,0.014999999999999999,0.051999999999999998,0.13400000000000001
103,0.012999999999999999,0.02,0.047,0.14099999999999999
104,0.012999999999999999,0.012999999999999999,0.048000000000000001,0.152
105,0.010999999999999999,0.012999999999999999,0.036999999999999998,0.13500000000000001
106,0.012,0.012999999999999999,0.040000000000000001,0.151
107,3.673,Memory limit,Memory limit,Memory limit
108,Memory limit,Memory limit,Memory limit,Memory limit